iter	MultiClass
235	0.5984132741
236	0.5982071473
237	0.5981764799
238	0.5981245478
239	0.5981029864
240	0.5979043927
241	0.5978748646
242	0.5973776563
243	0.5972881006
244	0.5969208683
245	0.5968408074
246	0.5965573674
247	0.5965276431
248	0.5964932088
249	0.5964150685
250	0.5962346422
251	0.5962087032
252	0.5961507337
253	0.5958173181
254	0.5957020288
255	0.5955981782
256	0.5954118647
257	0.5953261144
258	0.5952538307
259	0.595230545
260	0.5949717353
261	0.5947997757
262	0.5945458444
263	0.5943985224
264	0.5943623266
265	0.5941103782
266	0.5940888354
267	0.5940677871
268	0.5936722832
269	0.593633484
270	0.5934113398
271	0.5933339788
272	0.5933180479
273	0.5931793203
274	0.5930908077
275	0.5926520494
276	0.5925224418
277	0.592167631
278	0.5921215703
279	0.5920055732
280	0.5916665708
281	0.5911510373
282	0.5910592137
283	0.5908272563
284	0.5905915886
285	0.5901870803
286	0.5899625252
287	0.5898751468
288	0.5898351641
289	0.5897002277
290	0.5895924195
291	0.5894831602
292	0.5893381549
293	0.589323389
294	0.5892919215
295	0.5891524811
296	0.5889132305
297	0.5887363206
298	0.5886498515
299	0.5885129698
300	0.5882580037
301	0.5882300032
302	0.5880865813
303	0.5880445825
304	0.5879108482
305	0.5876277501
306	0.5875557826
307	0.5871859274
308	0.5869134808
309	0.5868996435
310	0.5868839491
311	0.5866388822
312	0.5866103588
313	0.5865464541
314	0.5863519497
315	0.5861553766
316	0.5860869359
317	0.5859876913
318	0.5858869866
319	0.5858697199
320	0.5857017077
321	0.5855046054
322	0.5854927179
323	0.5853130176
324	0.5852465854
325	0.5851640651
326	0.5850161747
327	0.5849283392
328	0.5848938286
329	0.5848029826
330	0.5847680048
331	0.584562628
332	0.5845004544
333	0.5844354242
334	0.5843250218
335	0.5842579764
336	0.584197615
337	0.5841628465
338	0.5841446923
339	0.5841065317
340	0.5840659533
341	0.5839378491
342	0.5834798267
343	0.5834330255
344	0.5833632054
345	0.5833167975
346	0.5826486053
347	0.5825849139
348	0.5824792071
349	0.5823953219
350	0.5822987211
351	0.5818858153
352	0.5818738686
353	0.5817345161
354	0.5815651532
355	0.5812229498
356	0.5812115939
357	0.5811445139
358	0.5811019941
359	0.5808712923
360	0.5807491876
361	0.580702306
362	0.5805716856
363	0.5805057545
364	0.5802512516
365	0.5802406322
366	0.5800064185
367	0.5794946268
368	0.5794516546
369	0.5792536331
370	0.5790846652
371	0.5788969264
372	0.5787990673
373	0.5787391836
374	0.5787273145
375	0.578469269
376	0.5782515353
377	0.5781800989
378	0.5779873781
379	0.577625683
380	0.5773826501
381	0.5772747058
382	0.5772010585
383	0.5768528871
384	0.5766264474
385	0.5764307617
386	0.5760913277
387	0.5760777476
388	0.5757837378
389	0.5757583835
390	0.5755995296
391	0.5754797172
392	0.5754475458
393	0.5754194305
394	0.5752898047
395	0.5752303402
396	0.5750216098
397	0.5749564731
398	0.5749229389
399	0.5749103656
400	0.5747148095
401	0.5744225454
402	0.5738856625
403	0.573439392
404	0.5732161845
405	0.573205742
406	0.5731923017
407	0.5728942696
408	0.572550815
409	0.5725335078
410	0.572327646
411	0.5722061755
412	0.5721255651
413	0.5720566416
414	0.5720477173
415	0.5719129065
416	0.5715123285
417	0.5714109836
418	0.5710625916
419	0.5708979153
420	0.5707584369
421	0.5706840081
422	0.5705482591
423	0.5705168241
424	0.5703538633
425	0.5701510071
426	0.5698320754
427	0.5697456671
428	0.5694357606
429	0.569184978
430	0.5689651319
431	0.5688121926
432	0.5686526783
433	0.5683507284
434	0.5682358326
435	0.5681485122
436	0.568113607
437	0.5680338782
438	0.5679505921
439	0.5677989828
440	0.5677801214
441	0.5676654318
442	0.5672654871
443	0.5671596899
444	0.567022039
445	0.5667879586
446	0.5666540181
447	0.5664690871
448	0.5663970636
449	0.5662012755
450	0.5660816699
451	0.5660014864
452	0.5656758915
453	0.5655488615
454	0.5653731534
455	0.5652627969
456	0.5652244209
457	0.5650904333
458	0.564973718
459	0.5649443384
460	0.5649365248
461	0.5648618776
462	0.5648294304
463	0.5647559022
464	0.5647209572
465	0.5646410401
466	0.5643978744
467	0.5643297927
468	0.5643077115
469	0.5642698007
470	0.5640781086
471	0.5639097605
472	0.56372062
473	0.5637108918
474	0.5636558174
475	0.5632904235
476	0.563161933
477	0.5631355283
478	0.5630448663
479	0.5630292087
480	0.5629502239
481	0.5628180507
482	0.5625722067
483	0.5622952064
484	0.562269274
485	0.5621402728
486	0.5619020421
487	0.5618910805
488	0.5618686697
489	0.561854743
490	0.5617548306
491	0.5615956847
492	0.5615056424
493	0.5614917214
494	0.5614739363
495	0.5614280295
496	0.5612878931
497	0.5610921998
498	0.5610436081
499	0.5607869336
500	0.56058278
501	0.560560571
502	0.5605014653
503	0.5604796531
504	0.5601279873
505	0.5599568186
506	0.5598794379
507	0.5596474628
508	0.5595736026
509	0.5594327717
510	0.5592636797
511	0.5592247588
512	0.5592120144
513	0.5591899675
514	0.5591000956
515	0.5589967133
516	0.5588594347
517	0.5587155681
518	0.5586473759
519	0.5584888085
520	0.5584617729
521	0.5584243029
522	0.5582872175
523	0.5582772214
524	0.5581962657
525	0.5580054178
526	0.5579190773
527	0.5578154618
528	0.5576065671
529	0.5574675301
530	0.5572449038
531	0.5571880958
532	0.5569839855
533	0.5567664508
534	0.5566037247
535	0.5565590364
536	0.5565379684
537	0.5564731592
538	0.5563670024
539	0.5562531348
540	0.5562031969
541	0.5560967789
542	0.5558708494
543	0.5557451381
544	0.5556039846
545	0.5555822428
546	0.5554257635
547	0.5553930543
548	0.5552746998
549	0.5552039066
550	0.5551368464
551	0.5550687262
552	0.5550296979
553	0.5548686123
554	0.5547643805
555	0.5545337547
556	0.5544359564
557	0.5543806626
558	0.5541992691
559	0.5541870023
560	0.5539243804
561	0.5539013233
562	0.5538317777
563	0.5538103506
564	0.5535966011
565	0.5534315267
566	0.5533894011
567	0.5533473772
568	0.5530300092
569	0.5529929585
570	0.5528045235
571	0.5527481064
572	0.5527414005
573	0.5526554906
574	0.5522960547
575	0.5520109373
576	0.5517563983
577	0.5516352932
578	0.5515874294
579	0.5514042857
580	0.5513874576
581	0.5512313287
582	0.5508129781
583	0.5508048659
584	0.5505547481
585	0.550476794
586	0.5502658411
587	0.550080204
588	0.5500538923
589	0.550004851
590	0.5499978842
591	0.5498364549
592	0.5497382792
593	0.5496082069
594	0.5495625675
595	0.5495290256
596	0.5494817453
597	0.5494763836
598	0.5492372679
599	0.5491580239
600	0.549048483
601	0.548755146
602	0.5487054092
603	0.5485938451
604	0.5484480516
605	0.548438631
606	0.5483801601
607	0.5482256952
608	0.5481977052
609	0.5481910181
610	0.5478288639
611	0.5475955588
612	0.5475805072
613	0.547534882
614	0.5473964901
615	0.5471786893
616	0.5471187483
617	0.5468151933
618	0.5465846397
619	0.546504468
620	0.5464304064
621	0.5463490284
622	0.5461886409
623	0.5460810016
624	0.546067685
625	0.5458276596
626	0.5457352173
627	0.5456410681
628	0.5456145694
629	0.5452898239
630	0.5452323042
631	0.5451451248
632	0.545065943
633	0.5450308298
634	0.5447092625
635	0.544667208
636	0.5442418764
637	0.5441831124
638	0.5440729641
639	0.5440422583
640	0.5439090189
641	0.5438374197
642	0.5437129721
643	0.5436126192
644	0.5435774359
645	0.5432809534
646	0.5429493824
647	0.5427023404
648	0.5426032112
649	0.5425963408
650	0.5423781584
651	0.5423034772
652	0.5422322051
653	0.5421521219
654	0.5418319284
655	0.5416974885
656	0.5416106411
657	0.5415685162
658	0.5415608379
659	0.5415331358
660	0.5412942441
661	0.5411938737
662	0.541032985
663	0.5409100019
664	0.5407559451
665	0.5406495198
666	0.540479904
667	0.5404074974
668	0.5402956188
669	0.5401328292
670	0.5399265002
671	0.5398834988
672	0.5398203916
673	0.5395501661
674	0.5394042182
675	0.539378677
676	0.5391350785
677	0.5390382588
678	0.5389650975
679	0.5387583514
680	0.5387496123
681	0.5386819165
682	0.5385591462
683	0.5384489285
684	0.5383254751
685	0.5383207106
686	0.5382347056
687	0.5381663047
688	0.538104386
689	0.5379308842
690	0.5378226582
691	0.5377132961
692	0.5374934381
693	0.5373469838
694	0.5370483744
695	0.5368154112
696	0.5366670107
697	0.5364499757
698	0.5364155102
699	0.5362595097
700	0.5359827287
701	0.535692473
702	0.5353441132
703	0.5352774456
704	0.53522385
705	0.5351975796
706	0.5351261905
707	0.5349280638
708	0.5347025701
709	0.5346629047
710	0.534579378
711	0.5343567593
712	0.5343383874
713	0.534141315
714	0.5339163079
715	0.5339042181
716	0.5337868233
717	0.5337817313
718	0.5337020915
719	0.5335689963
720	0.5335170944
721	0.5334248703
722	0.5330585499
723	0.5330115896
724	0.5329014532
725	0.5327570312
726	0.5326881831
727	0.5324439867
728	0.5323109991
729	0.5321352938
730	0.5319379782
731	0.5317347858
732	0.5317242549
733	0.5316981825
734	0.5316647304
735	0.5316101302
736	0.5315773502
737	0.5314510193
738	0.5314186887
739	0.5312850008
740	0.5312356441
741	0.530941565
742	0.5309033472
743	0.5307696051
744	0.5307102167
745	0.5305714583
746	0.5303604115
747	0.5302988193
748	0.5302733491
749	0.5300907307
750	0.5300037831
751	0.5299711176
752	0.529966112
753	0.5296274325
754	0.5295309083
755	0.5294573878
756	0.5294468284
757	0.5293587292
758	0.5292549995
759	0.5291748676
760	0.5291645399
761	0.5291382511
762	0.5288660478
763	0.5288602731
764	0.5288007063
765	0.5285614334
766	0.5285152665
767	0.5283784173
768	0.5281633259
769	0.5279378886
770	0.5276704477
771	0.5276397655
772	0.5275782018
773	0.5274687246
774	0.5273617331
775	0.5271478514
776	0.5268892047
777	0.5267954956
778	0.5266705219
779	0.5265824477
780	0.526568579
781	0.5264999645
782	0.5263713523
783	0.5262432005
784	0.526047478
785	0.5259966505
786	0.5257103886
787	0.5255641072
788	0.5251808537
789	0.5251621584
790	0.5250720985
791	0.5249848327
792	0.5248806835
793	0.5248195626
794	0.5247390146
795	0.5245763461
796	0.5244833006
797	0.524375972
798	0.5242021159
799	0.5241878513
800	0.5240570237
801	0.5238478934
802	0.5236589289
803	0.5234603597
804	0.5233536141
805	0.5233116446
806	0.5232378213
807	0.5230402558
808	0.5229951684
809	0.5229587339
810	0.5229473805
811	0.5228400898
812	0.5227803207
813	0.5226778239
814	0.5226202529
815	0.5225227758
816	0.5224475858
817	0.5223995871
818	0.5223918056
819	0.5223045813
820	0.5221972416
821	0.5221556666
822	0.5217595125
823	0.5217278599
824	0.5213438506
825	0.5213091764
826	0.5211744669
827	0.5211454519
828	0.5210624729
829	0.5210403519
830	0.5209551109
831	0.5207920164
832	0.5206429997
833	0.5205479463
834	0.5203100787
835	0.5201196286
836	0.5199894267
837	0.519935481
838	0.5195841064
839	0.5195479275
840	0.5194718951
841	0.5193424992
842	0.5188947905
843	0.5188106893
844	0.5187062227
845	0.5185487497
846	0.5184508292
847	0.5183878346
848	0.518272464
849	0.5181633964
850	0.5178553801
851	0.5176685714
852	0.5176582
853	0.5174701751
854	0.5170859956
855	0.5168492653
856	0.5168397758
857	0.5167890804
858	0.5166981531
859	0.51660531
860	0.5165516074
861	0.5161923893
862	0.5160311395
863	0.5160216423
864	0.5158589598
865	0.5158223743
866	0.5156045728
867	0.5155167021
868	0.515498433
869	0.5154520084
870	0.5153322014
871	0.5152908195
872	0.5151247361
873	0.5149799944
874	0.5148759114
875	0.5147581626
876	0.5146749695
877	0.5144786502
878	0.5143950203
879	0.514348183
880	0.514151447
881	0.5140034719
882	0.5139241564
883	0.5137097211
884	0.5132423103
885	0.5132331334
886	0.5131290816
887	0.5130113272
888	0.5127974183
889	0.5126176153
890	0.5125954256
891	0.5124636219
892	0.512347275
893	0.5120609571
894	0.5119473487
895	0.511847096
896	0.5117795744
897	0.5116514574
898	0.511450714
899	0.5113334745
900	0.5111541826
901	0.5110883117
902	0.5110826137
903	0.5109566362
904	0.5109216588
905	0.5108179118
906	0.5107474831
907	0.5105492887
908	0.5103758917
909	0.5103290169
910	0.510140901
911	0.5100911705
912	0.509875836
913	0.5097508755
914	0.5096693711
915	0.5095629807
916	0.5095057222
917	0.5094117197
918	0.5093394361
919	0.509328002
920	0.5091513126
921	0.5090716438
922	0.5089911256
923	0.5088219017
924	0.5087050542
925	0.5086562403
926	0.5086254889
927	0.5085502607
928	0.5082524252
929	0.5082415278
930	0.5080860827
931	0.5079247529
932	0.507695842
933	0.5076051575
934	0.5074802423
935	0.5073133971
936	0.5072558628
937	0.5070069577
938	0.5067095673
939	0.5065409993
940	0.5064307972
941	0.5063307616
942	0.5063076382
943	0.5061345252
944	0.5060751938
945	0.5058822433
946	0.5058363868
947	0.5056876649
948	0.5055978189
949	0.5055069457
950	0.505497455
951	0.5054055944
952	0.505259564
953	0.5051736134
954	0.5050141031
955	0.5049064512
956	0.5046753131
957	0.5046069604
958	0.5044268464
959	0.5042515803
960	0.5040971042
961	0.5040680906
962	0.5037666749
963	0.5037495976
964	0.5035881133
965	0.5035626588
966	0.5034048338
967	0.5032675257
968	0.5032340751
969	0.5031330484
970	0.5030447374
971	0.5028813774
972	0.5027917356
973	0.5027537576
974	0.5025883415
975	0.5024953219
976	0.5024896565
977	0.5023889903
978	0.5022799751
979	0.5021238641
980	0.5020289646
981	0.5020037605
982	0.5018251581
983	0.501652613
984	0.5016451076
985	0.5015940718
986	0.501486785
987	0.5013477391
988	0.5011646456
989	0.5010867859
990	0.5009592195
991	0.5006820677
992	0.5004834276
993	0.5003873054
994	0.5003431883
995	0.500261718
996	0.5002299978
997	0.5001394676
998	0.4999660278
999	0.4999124082
