iter	Passed	Remaining
791	57540	15111
792	57587	15032
793	57633	14952
794	57682	14874
795	57738	14797
796	57779	14716
797	57820	14636
798	57866	14557
799	57909	14477
800	57960	14399
801	58010	14321
802	58064	14244
803	58114	14167
804	58165	14089
805	58220	14013
806	58270	13935
807	58319	13858
808	58359	13778
809	58408	13700
810	58449	13621
811	58499	13544
812	58546	13466
813	58593	13388
814	58639	13310
815	58682	13232
816	58726	13154
817	58768	13075
818	58808	12996
819	58860	12920
820	58907	12843
821	58950	12765
822	58999	12688
823	59043	12611
824	59101	12536
825	59142	12458
826	59189	12381
827	59230	12303
828	59271	12226
829	59315	12149
830	59362	12072
831	59411	11996
832	59461	11920
833	59510	11844
834	59612	11779
835	59661	11703
836	59708	11627
837	59757	11552
838	59811	11477
839	59860	11401
840	59907	11326
841	59951	11249
842	60003	11175
843	60048	11099
844	60100	11024
845	60145	10948
846	60191	10872
847	60235	10796
848	60286	10722
849	60339	10648
850	60388	10573
851	60438	10498
852	60481	10423
853	60537	10349
854	60594	10276
855	60643	10201
856	60680	10125
857	60724	10049
858	60774	9975
859	60826	9902
860	60867	9826
861	60921	9753
862	60970	9679
863	61012	9603
864	61066	9530
865	61107	9455
866	61159	9382
867	61203	9307
868	61247	9232
869	61298	9159
870	61348	9086
871	61394	9011
872	61446	8938
873	61496	8865
874	61556	8793
875	61602	8719
876	61651	8646
877	61697	8572
878	61743	8499
879	61792	8426
880	61842	8353
881	61885	8279
882	61928	8205
883	61976	8132
884	62037	8061
885	62077	7987
886	62122	7914
887	62165	7840
888	62213	7767
889	62264	7695
890	62320	7623
891	62368	7551
892	62412	7478
893	62467	7406
894	62520	7334
895	62572	7262
896	62616	7190
897	62664	7117
898	62722	7046
899	62767	6974
900	62821	6902
901	62864	6830
902	62903	6757
903	62956	6685
904	62995	6612
905	63043	6540
906	63089	6468
907	63138	6397
908	63192	6326
909	63237	6254
910	63285	6182
911	63326	6110
912	63384	6039
913	63441	5969
914	63495	5898
915	63544	5827
916	63594	5756
917	63645	5685
918	63717	5616
919	63769	5545
920	63824	5474
921	63881	5404
922	63930	5333
923	63981	5262
924	64032	5191
925	64079	5120
926	64128	5050
927	64180	4979
928	64233	4909
929	64272	4837
930	64323	4767
931	64378	4697
932	64432	4626
933	64487	4556
934	64529	4486
935	64580	4415
936	64680	4348
937	64731	4278
938	64787	4208
939	64843	4138
940	64898	4069
941	64945	3998
942	64989	3928
943	65044	3858
944	65088	3788
945	65134	3718
946	65181	3647
947	65227	3577
948	65276	3507
949	65358	3439
950	65397	3369
951	65454	3300
952	65506	3230
953	65551	3160
954	65601	3091
955	65646	3021
956	65703	2952
957	65751	2882
958	65798	2813
959	65845	2743
960	65897	2674
961	65946	2604
962	65997	2535
963	66035	2466
964	66081	2396
965	66122	2327
966	66172	2258
967	66215	2188
968	66258	2119
969	66306	2050
970	66352	1981
971	66403	1912
972	66453	1844
973	66495	1775
974	66543	1706
975	66593	1637
976	66649	1569
977	66703	1500
978	66747	1431
979	66796	1363
980	66846	1294
981	66970	1227
982	67019	1159
983	67064	1090
984	67105	1021
985	67153	953
986	67208	885
987	67259	816
988	67310	748
989	67359	680
990	67401	612
991	67458	544
992	67515	475
993	67623	408
994	67670	340
995	67722	271
996	67763	203
997	67808	135
998	67855	67
999	67905	0
